latitude,longitude,elevation,bio1,bio4,bio5,bio6,bio12,bio13,bio14,bio15,month,day_of_year,sin_month,cos_month
42.268978,1.028056,,0.912844,62.630280,2.509025,-0.271725,874.000000,95.000000,53.000000,18.096104,1.000000,9.000000,0.000000,1.000000
-25.817722,28.326785,,1.787250,38.988007,2.793500,0.349875,695.000000,129.000000,3.000000,80.531609,1.000000,8.000000,0.000000,1.000000
41.415368,2.152215,,1.536224,55.551399,2.834160,0.425714,635.000000,82.000000,27.000000,29.711847,1.000000,18.000000,0.000000,1.000000
-32.061161,-64.997823,,1.127826,45.885132,2.369700,-0.169625,691.000000,104.000000,11.000000,60.672070,1.000000,15.000000,0.000000,1.000000
-26.060238,27.879370,,1.637092,41.087360,2.673225,0.174150,716.000000,133.000000,3.000000,78.065933,2.000000,37.000000,0.500000,0.866025
-26.060067,27.880405,,1.637092,41.087360,2.673225,0.174150,716.000000,133.000000,3.000000,78.065933,2.000000,37.000000,0.500000,0.866025
-26.060115,27.879825,,1.637092,41.087360,2.673225,0.174150,716.000000,133.000000,3.000000,78.065933,2.000000,37.000000,0.500000,0.866025
-32.068301,-64.576439,,1.607713,48.315926,2.883075,0.259325,699.000000,102.000000,12.000000,60.836693,2.000000,39.000000,0.500000,0.866025
45.043393,39.027248,,1.161428,88.493301,2.964275,-0.402050,740.000000,79.000000,47.000000,17.325319,2.000000,57.000000,0.500000,0.866025
-28.900183,27.639320,,1.449152,51.520775,2.759900,-0.275550,725.000000,117.000000,10.000000,64.722275,2.000000,56.000000,0.500000,0.866025
-34.061955,18.865225,,1.548028,33.515900,2.575667,0.633744,792.000000,119.000000,25.000000,56.383369,3.000000,66.000000,0.866025,0.500000
-34.061860,18.865139,,1.548028,33.515900,2.575667,0.633744,792.000000,119.000000,25.000000,56.383369,3.000000,66.000000,0.866025,0.500000
-37.004456,174.603199,,1.432392,30.968342,2.254364,0.661682,1311.000000,144.000000,80.000000,19.797077,4.000000,104.000000,1.000000,0.000000
-25.886939,28.211584,,1.670553,37.644157,2.654225,0.221125,720.000000,133.000000,3.000000,80.320267,4.000000,92.000000,1.000000,0.000000
-34.828664,-55.225639,,1.611842,42.389725,2.682317,0.668086,1101.000000,100.000000,73.000000,8.453632,4.000000,91.000000,1.000000,0.000000
-37.074964,149.914047,,1.493821,34.001686,2.423518,0.534862,862.000000,92.000000,49.000000,17.639713,4.000000,96.000000,1.000000,0.000000
-27.288815,27.973495,,1.576561,48.271339,2.779550,-0.192675,669.000000,114.000000,7.000000,72.112267,4.000000,96.000000,1.000000,0.000000
-38.730039,176.069377,,1.157058,38.132786,2.239675,0.209775,1433.000000,138.000000,99.000000,12.135309,4.000000,112.000000,1.000000,0.000000
-25.666345,28.026316,,1.870111,40.562176,2.902775,0.338775,656.000000,122.000000,3.000000,80.626953,4.000000,117.000000,1.000000,0.000000
-34.196145,22.049458,,1.748282,25.317072,2.602317,0.876951,452.000000,48.000000,33.000000,13.110046,4.000000,118.000000,1.000000,0.000000
-33.987251,18.434192,,1.651621,29.122250,2.512526,0.858842,592.000000,100.000000,17.000000,65.611244,4.000000,118.000000,1.000000,0.000000
-23.869330,29.874812,,1.538320,30.722717,2.373450,0.376750,1092.000000,198.000000,19.000000,76.274475,4.000000,118.000000,1.000000,0.000000
4.726530,-74.031670,,1.353832,3.230882,1.984150,0.689275,1208.000000,153.000000,43.000000,32.396183,4.000000,112.000000,1.000000,0.000000
-23.877492,29.865956,,1.538320,30.722717,2.373450,0.376750,1092.000000,198.000000,19.000000,76.274475,4.000000,118.000000,1.000000,0.000000
-35.566072,148.332763,,1.164795,51.626320,2.546150,0.000275,1183.000000,143.000000,52.000000,28.638725,4.000000,98.000000,1.000000,0.000000
-26.068604,27.957067,,1.637092,41.087360,2.673225,0.174150,716.000000,133.000000,3.000000,78.065933,4.000000,118.000000,1.000000,0.000000
-28.959899,26.351033,,1.620355,54.365570,3.064225,-0.142400,561.000000,92.000000,8.000000,66.015411,4.000000,120.000000,1.000000,0.000000
-28.959865,26.351797,,1.620355,54.365570,3.064225,-0.142400,561.000000,92.000000,8.000000,66.015411,4.000000,120.000000,1.000000,0.000000
-27.980883,152.291027,,1.653359,42.570641,2.687775,0.522100,860.000000,118.000000,31.000000,44.909000,4.000000,104.000000,1.000000,0.000000
-27.980914,152.291231,,1.653359,42.570641,2.687775,0.522100,860.000000,118.000000,31.000000,44.909000,4.000000,104.000000,1.000000,0.000000
-30.325108,28.703897,,1.533974,39.947670,2.655875,0.148750,684.000000,119.000000,11.000000,69.032097,4.000000,113.000000,1.000000,0.000000
-30.325622,28.701768,,1.533974,39.947670,2.655875,0.148750,684.000000,119.000000,11.000000,69.032097,4.000000,113.000000,1.000000,0.000000
-33.938347,18.886847,,1.596588,36.448689,2.712250,0.610875,787.000000,121.000000,23.000000,58.956909,5.000000,127.000000,0.866025,-0.500000
-33.938378,18.886837,,1.596588,36.448689,2.712250,0.610875,787.000000,121.000000,23.000000,58.956909,5.000000,127.000000,0.866025,-0.500000
-38.978542,175.818178,,1.125077,37.556953,2.202175,0.189500,1560.000000,164.000000,94.000000,15.022326,5.000000,141.000000,0.866025,-0.500000
-26.318617,26.891891,,1.645372,44.271721,2.785525,-0.009075,635.000000,119.000000,5.000000,78.212334,5.000000,135.000000,0.866025,-0.500000
32.984279,35.347354,,1.817876,60.956493,3.079925,0.597000,658.000000,166.000000,0.000000,108.861542,5.000000,144.000000,0.866025,-0.500000
-19.891219,29.455131,,1.780310,33.504784,2.803050,0.471475,653.000000,141.000000,1.000000,99.984962,5.000000,151.000000,0.866025,-0.500000
-28.505520,28.530353,,1.175483,40.328804,2.247300,-0.196900,840.000000,131.000000,11.000000,65.851662,5.000000,124.000000,0.866025,-0.500000
-28.572802,28.399540,,1.360363,43.814850,2.509350,-0.138250,767.000000,122.000000,11.000000,64.833092,5.000000,124.000000,0.866025,-0.500000
-33.938376,18.886834,,1.596588,36.448689,2.712250,0.610875,787.000000,121.000000,23.000000,58.956909,5.000000,132.000000,0.866025,-0.500000
