id,uuid,observed_on,time_observed_at,user_id,created_at,quality_grade,image_url,place_guess,latitude,longitude,positional_accuracy,private_place_guess,scientific_name,common_name
10182975,6387bfaa-b5ee-4289-a58c-b24e92ae9c5d,2018-03-11,2018-03-11 08:29:28 UTC,768969,2018-03-11 13:34:56 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/14061655/medium.jpg,"Table Mountain, ZA-WC-CT, ZA-WC, ZA",-33.9957259689,18.413065318,10,,Pyracantha angustifolia,Narrowleaf Firethorn
10868145,b474337b-0c35-4095-b1cb-601982f866f4,2013-04-18,,383144,2013-05-16 00:18:38 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/15254057/medium.jpg,Alphen Trail Constantia,-34.00820232,18.43943596,1,,Pyracantha angustifolia,Narrowleaf Firethorn
10889524,44dac2bc-a751-43dd-aa60-1cc06b8d13cc,2013-10-26,,383144,2013-10-30 05:58:01 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/15297829/medium.jpg,Constantiaberg Green Belt Alphen Trail - upper section,-34.00690382,18.43836308,1,,Pyracantha angustifolia,Narrowleaf Firethorn
10921421,ef8f234d-6aa4-438e-a78e-23eb1de969ad,2013-06-13,,773622,2013-12-29 13:21:33 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/19238380/medium.jpg,"M64, Table Mountain National Park",-34.0870168,18.4243743,1,,Pyracantha angustifolia,Narrowleaf Firethorn
11137123,a453d5c6-2166-4dd4-a610-a43a39802d33,2015-05-24,,383144,2015-06-05 21:24:42 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/15753753/medium.jpg,Path to Vlakkenberg above Constantia Neck: Vlakkenberg section of Table Mountain National Park,-34.01377823,18.40490089,1,,Pyracantha angustifolia,Narrowleaf Firethorn
11168532,e6ccc4af-9a3e-4384-a506-54261d8d354e,2016-02-13,,383144,2016-03-01 23:25:16 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/19253890/medium.jpg,s Overseas House on road up TM: Table Mountain section Table Mountain National Park,-33.9918549,18.4140894,1,,Pyracantha angustifolia,Narrowleaf Firethorn
12331342,a26cc99d-1a88-4c45-a9a3-2c9707ebda16,2018-04-22,2018-04-22 14:23:00 UTC,383144,2018-05-10 20:12:58 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/17751019/medium.jpeg,"Die Hel, Constantia",-34.0092162,18.41697514,50,,Pyracantha angustifolia,Narrowleaf Firethorn
20137646,460ac828-29be-4891-b92f-7f27dec56942,2013-12-23,,950470,2013-12-25 07:29:26 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/31057667/medium.jpg,"Nursery Ravine, Table Mountain National Park",-33.989,18.4127,1,,Pyracantha angustifolia,Narrowleaf Firethorn
23380950,d53c4d3b-5bab-494b-82c5-7516ac067128,2019-04-27,2019-04-27 13:40:01 UTC,1631008,2019-04-27 15:10:13 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/36215018/medium.jpg,"2–26 Le Sueur Avenue, Southern Suburbs, WC, ZA",-34.0075638601,18.4387587662,151,,Pyracantha angustifolia,Narrowleaf Firethorn
23667246,876cc5f6-9f34-48b0-a724-dafbea508297,2019-04-28,2019-04-28 11:49:51 UTC,13916,2019-04-28 16:39:39 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/36631803/medium.jpg,"Table Mountain National Park, Cape Town, WC, ZA",-33.99243,18.4138083333,5,,Pyracantha angustifolia,Narrowleaf Firethorn
23707487,84685fcc-5b30-4263-b869-6982b1334749,2019-04-28,2019-04-28 11:50:00 UTC,704944,2019-04-28 19:10:13 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/36689098/medium.jpeg,"Wynberg NU (2), Cape Town, 7824, South Africa",-33.9932380587,18.4134491076,122,,Pyracantha angustifolia,Narrowleaf Firethorn
23872731,10907bbf-7708-4e07-b284-04f0ce7bda5a,2019-04-29,2019-04-29 08:00:19 UTC,1669479,2019-04-29 08:00:36 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/36938536/medium.jpg,"2 Trinity Lane, Southern Suburbs, WC, ZA",-33.968415551,18.4859096552,65,,Pyracantha angustifolia,Narrowleaf Firethorn
24057708,f17ba0f7-e2fa-4bb8-927e-fbece7c2c24b,2019-04-29,,1486202,2019-04-29 23:11:21 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/37197155/medium.jpg,"Rondebosch, Cape Town, 7700, South Africa",-33.9561111111,18.4625,,,Pyracantha angustifolia,Narrowleaf Firethorn
26140334,06c3050c-f716-4edb-bf27-4a47df5ef730,2019-04-07,2019-04-07 06:23:00 UTC,383144,2019-05-31 22:05:51 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/40556079/medium.jpeg,mid-level road Orangekloof section Table Mountain National Park,-34.00339794,18.40012718,20,,Pyracantha angustifolia,Narrowleaf Firethorn
26283048,22be13d9-349e-4874-b6f6-06403a582c3b,2019-04-07,2019-04-07 10:34:00 UTC,383144,2019-06-02 21:57:15 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/40795444/medium.jpeg,"Overseers Cottage, Table Mountain National Park",-33.99150936,18.41424126,20,,Pyracantha angustifolia,Narrowleaf Firethorn
34863173,0f2be782-edb9-4bff-9308-eedcc851e138,2019-10-13,2019-10-13 08:49:00 UTC,383144,2019-10-25 07:45:41 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/54921214/medium.jpeg,"upper Constantia Neck hiking track, Cecilia, Table Mountain National Park",-33.99712189,18.41238068,20,,Pyracantha angustifolia,Narrowleaf Firethorn
